おどろく（2個）,①（はっと）気づく　②（ふと）目を覚ます
すむ（1個）,①(男が女のもとに)通う
さはる（1個）,①妨げられる・差し支える
あるじす（1個）,①客にごちそうする・客をもてなす
もてなす（3個）,①振る舞う　②取り扱う・取り計らう　③もてはやす・大切に扱う
きようず（1個）,①おもしろがる
およすぐ（2個）,①成長する・大人になる　②大人びる・ませる
ときめく（1個）,①寵愛を受ける・時流に乗って栄える
さる（2個）,①避ける・のがれる　②断る・辞退する
こうず（1個）,①疲れる・疲労する
かきくらす（1個）,①悲しみが心を暗くする・涙が目の前を暗くする
うれふ（1個）,①訴える・悲しみ嘆く
かこつ（1個）,①不平を言う・文句を言う
いたはる（3個）,①病気になる・疲労する　②骨を折る・苦労する　③世話をする
ためらふ（2個）,①静養する・病勢を抑える　②気を静める・感情を抑える
おこたる（1個）,①病気がよくなる・病気が快方に向かう
なやむ（1個）,①病気で苦しむ・気分がすぐれなくなる
おくる（1個）,①先立たれる・先に死なれる
したたむ（3個）,①処理する・整理する　②用意する・準備する　③取り締まる・治める
あたらし（1個）,①もったいない・惜しい
かたじけなし（2個）,①おそれ多い・もったいない　②ありがたい・もったいない
をこがまし（1個）,①愚かしい・みっともない
こころにくし（1個）,①奥ゆかしい
さかし（4個）,①かしこい・賢明だ　②気が利いている・才気がある　③気がしっかりしている・気丈だ　④こざかしい
すきずきし（2個）,①好色めいている・色好みだ　②風流だ・物好きだ
なまめかし（1個）,①優美だ・みずみずしい
いまめかし（2個）,①現代風だ・当世風だ　②華やかだ・目新しい
しどけなし（2個）,①無造作だ・気楽な感じだ　②乱れている・だらしがない
つきづきし（1個）,①似つかわしい・ふさわしい
なつかし（1個）,①好ましい・感じがよい
めやすし（1個）,①見苦しくない・感じよい
こころやすし（2個）,①安心だ　②気楽だ・気安い
うしろめたし（1個）,①心配だ・気がかりだ
こころぐるし（2個）,①つらい・心配だ　②気の毒だ・見ていてつらい
まばゆし（2個）,①見ていられない・目をそむけたいほどだ　②恥ずかしい・照れくさい
はづかし（1個）,①(こちらが気後れするほど)立派だ・すぐれている
つたなし（4個）,①下手だ・拙劣だ　②劣っている・凡庸だ　③下品だ・見苦しい　④不運だ・運が悪い
こちたし（1個）,①仰々しい・はなはだしい
さうなし（1個）,①ためらわない・無造作だ
ところせし（3個）,①いっぱいだ・あふれるくらいだ　②窮屈だ・不自由だ　③おおげさだ・仰々しい
つつまし（1個）,①気がひける・気恥ずかしい
まさなし（2個）,①よくない・不都合だ　②見苦しい・みっともない
ねたし（1個）,①しゃくにさわる・憎らしい
まだし（2個）,①まだ時期が早い・時期尚早だ　②不十分だ・未熟だ
はしたなし（4個）,①不釣り合いだ　②無愛想だ　③はげしい・強い　④きまりが悪い・体裁が悪い
わりなし（4個）,①道理に合わない・無理だ　②並々ではない・はなはだしい　③耐えがたい・つらい　④しかたがない・やむをえない
ずちなし（1個）,①どうしようもない・しかたがない
あへなし（1個）,①あっけない・はりあいがない・(今さら)どうしようもない
くまなし（2個）,①暗い所がない・かげの部分がない　②行き届かないところがない・いたらないところがない
めざまし（1個）,①気にくわない・不愉快だ
こころづきなし（1個）,①気に入らない・気にくわない
ゆくりなし（1個）,①突然だ・思いがけない
あつし（1個）,①症状が重い・病弱である
あながちなり（2個）,①無理やりだ・強引だ　②むやみだ・はなはだしい
なめげなり（1個）,①無礼だ・無作法だ
なのめなり（2個）,①並一通りだ・ありきたりだ　②いい加減だ・おろそかだ
